GENE1,GENE2,SCORE,HPRD,Pvalue
ZFYVE9,TGFBR2,1.440719182,1,0.092404485
CDC25B,CHRM5,1.440690975,2,0.106151
ALDH6A1,ENG,1.440683456,2,0.14094
MAP3K4,TNFRSF21,1.440657443,2,0.011639
PKN2,FAS,1.440637381,2,0.00894
RCN1,EPHA2,1.440588952,2,0.062701
AURKB,ACVR1B,1.440568535,2,0.012358
RASA1,EPHA2,1.440565653,2,0.005005
ARTS-1,PVRL1,1.440559455,2,0.080425455
OR7A5,OR2A4,1.440542611,2,0.036292
TGFB1,IL17RB,1.440539037,2,0.066709629
COL8A1,FGFR1,1.440530438,2,0.248254771
LYN,ERBB3,1.44048632,2,0.125028
MST1,CSF1R,1.440397081,2,0.053286753
A2M,EGFR,1.440283717,2,0.038101283
CD164,ATRN,1.440277867,2,0.035840633
ITGA4,ITGA11,1.440266821,2,0.121738845
TDRD3,EPHB3,1.440257525,2,0.031131
GCLC,LRP8,1.440253448,2,0.01143
KITLG,ITGA2,1.440227567,2,0.051343266
KNG1,CRLF1,1.440224434,2,0.08251
DUSP5,ACVR1,1.440219279,2,0.011087
EMR3,CSF2RB,1.440210321,2,0.060855
SDF2,TLR4,1.440184224,2,0.013437
ADRBK1,EPHA1,1.440181041,2,0.137453
COL4A5,CD63,1.440157983,2,0.02193
CXCL2,IL7R,1.440144623,2,0.135104
CD80,TLR6,1.440065102,2,0.157984
GREM1,ITGBL1,1.440007361,2,0.071704
VEGFC,IL2RA,1.440001233,2,0.069716434
PLAUR,CSF2RB,1.439994456,2,0.013877
FNDC3A,PTPRS,1.439977397,2,0.034655564
MAP3K11,EGFR,1.439954748,2,0.351982
PABPC4,TLR4,1.439881743,2,0.11456559
CD4,ITGAL,1.439847731,2,0.021836731
SWAP70,RYK,1.439785539,2,0.082517
NRG1,CD44,1.439785158,2,0.035737
MGP,ROBO4,1.439779192,2,0.124459475
PPT1,LRP1,1.439774066,2,0.115974233
IDS,NRXN3,1.439773996,2,0.155567
CCL5,ITGBL1,1.439758218,2,0.027868
HLA-E,LDLR,1.439711947,2,0.004663887
EGFR,ACVR1,1.439664981,2,0.104059
NTRK2,NRXN1,1.439648159,2,0.077223
RLBP1,GPR173,1.439623372,2,0.006029
MYO1E,PTPRJ,1.439608223,2,0.283150889
PPIB,EPHA2,1.439571271,2,0.076030271
CD28,IL7R,1.439541513,2,0.05575
STAM,PTPRA,1.43954124,2,0.090997907
BLVRB,LRP1,1.43952145,2,0.227392
BACE2,NEO1,1.439496493,2,0.173927174
ACE,PLAUR,1.43939586,2,0.048021
ARHGEF11,NOTCH1,1.43935563,2,0.063838463
KIAA0247,NOTCH1,1.43931954,2,0.157806
GNAI1,EPOR,1.439239215,1,0.014694
TGFB1,BMPR1A,1.439238878,2,0.007092
HSPCA,ITGA3,1.439220703,2,0.044423
PREX1,EBI2,1.439213849,2,0.052943015
LRP6,EPHA2,1.439205378,2,0.078026
LARGE,MERTK,1.439181594,2,0.016127
MX2,OGFR,1.439173289,2,0.098774
PTN,NOTCH4,1.439096704,2,0.029803
COL4A3,FAS,1.439076626,2,0.026169
DDOST,CD44,1.439056773,2,0.222187
DST,TYRO3,1.439029626,2,0.262504
C2,LILRB2,1.438962366,2,0.108638968
BTK,ITGAX,1.43893067,2,0.029862
COL1A2,IL12RB1,1.43885251,2,0.168728
GRB2,CD47,1.438794488,2,0.014257
ACTB,TFRC,1.438782706,2,0.010657
IRAK1,AMHR2,1.438765456,2,0.117576
IFNG,FPRL1,1.4387275,2,0.012449
PKD1,EPHB4,1.438678417,2,0.024492
FGFR3,ROS1,1.438655173,2,0.041033007
LAMB1,LDLR,1.438643286,2,0.133512286
SPARC,ITGAV,1.438538032,2,0.021921
FES,RET,1.438537067,2,0.013843
JAK1,GABBR1,1.438524291,2,0.009668
FBLN2,TNFRSF1A,1.438468072,2,0.090498
INHBA,FGFR1,1.438428244,2,0.015977
GNAT2,RHO,1.438383131,2,0.018938
GNRH1,NOTCH2,1.438367224,2,0.127535057
APP,ITGB1BP1,1.438292012,2,0.019754
TNFRSF17,CD97,1.438287504,2,0.010545
EMILIN2,OPRS1,1.438281982,2,0.098475
CSK,PDGFRB,1.438280568,2,0.006611
XCL1,CCR4,1.438274105,2,0.028483
CD69,KLRC4,1.438264931,2,0.085195
TGFB1,PVR,1.438261186,2,0.19658952
OSBPL3,EGFR,1.438245334,2,0.119032
LAMA4,BMPR2,1.438228596,2,0.031455
EPS8,IGF1R,1.43816865,2,0.151703
TNK2,ATRN,1.438131138,2,0.05124
SEMA5A,SDC2,1.438111971,2,0.208721
PCTK1,TNFRSF1A,1.438102579,2,0.082159
NCK2,IFNAR2,1.438072206,2,0.036507
SLAMF1,CCR9,1.438061188,2,0.086441
PPT1,NRXN3,1.43804008,2,0.016658
PLAU,IFNGR1,1.437999581,2,0.025102
TNFRSF7,TNFRSF10A,1.437980761,2,0.049528
TLX1,PPYR1,1.437939307,1,0.030111
ARHGEF16,EPHA2,1.437923896,2,0.172406
PTN,TIE1,1.437902505,2,0.030788828
CD86,CCR2,1.437893378,2,0.169546
RHOA,ACVR1B,1.437880295,2,0.008811
GNA12,TBXA2R,1.437854137,1,0.010627
COL4A3,ERBB2,1.437808822,2,0.016001
ANK3,CD44,1.437774673,2,0.024117
CCL22,CD97,1.437764959,2,0.035692208
CD24,IFNGR1,1.437750524,2,0.010179
LY6E,IL6ST,1.437718577,2,0.19839809
GLB1,NOTCH1,1.437684243,2,0.259508
ITGB1,LRP5,1.437637098,2,0.009126
CCL8,ADORA1,1.437625456,2,0.00878
WARS2,NPR1,1.437622184,2,0.12743
PTP4A1,DDR1,1.437588335,2,0.253366
SFRP4,CSF1R,1.437582815,2,0.012359
ATP5H,PTPRE,1.437537144,2,0.14384
SSX1,TNFRSF12A,1.437458962,2,0.096453704
SH2B,DDR1,1.437449923,2,0.081464
ISLR,PTPRF,1.437378301,2,0.157765
LAMA2,PTPRN2,1.437351342,2,0.210659
FRK,EPHB6,1.437269642,2,0.014552
C1QR1,TLR3,1.437256778,2,0.147670111
INSRR,TIE1,1.437239329,2,0.109187
CRYGC,CX3CR1,1.437226495,2,0.006735
TRA1,NOTCH3,1.43717645,2,0.014068617
APOBEC2,TSPAN2,1.43716983,2,0.195747
MARS,LRP1,1.437119444,2,0.105199
CDH2,CD63,1.43701687,2,0.128715
PROCR,ITGB2,1.43697596,2,0.04272196
RPS6KA1,TNFRSF10B,1.436942674,2,0.010196
ERBB2IP,ENG,1.43688442,2,0.078328754
MMP2,SCARF1,1.436881198,2,0.007097
ADAM9,FGFR3,1.436861882,2,0.012527
CD28,LDLR,1.436851689,2,0.075272189
KITLG,EPOR,1.436815471,1,0.007354
PTPRU,EPHA5,1.436813477,2,0.091152
EPS8,PTPRF,1.436765814,2,0.015739
SEMA5A,IL17R,1.43675935,2,0.151429
IL16,LY75,1.436738027,2,0.039837
CTSK,NCSTN,1.436733573,2,0.257554
PTPRD,PTPRJ,1.436697388,2,0.1898
PAK4,ITGAV,1.436692449,1,0.015816
GNLY,LTB4R,1.436686719,2,0.072551614
CCL3,NRXN1,1.436684747,2,0.081050413
RTN4,F2R,1.436676819,2,0.087362
CTGF,PTPRN2,1.436675991,2,0.038756
FGD1,DDR2,1.436643301,2,0.111071
YES1,FLT4,1.436606266,2,0.004515
ITGA2,CD44,1.436603248,2,0.01017
TBC1D4,PAQR3,1.436538461,2,0.017316
CIT,PDGFRA,1.436523976,2,0.217389
RELN,ITGB2,1.436511625,2,0.026076
LAMA4,SDC1,1.436506952,2,0.271767
LOC388085,TNFRSF9,1.436471865,2,0.079059
CSF2,TLR2,1.436377441,2,0.007869
ANK2,IL4R,1.436361036,2,0.01829
DHRS8,LRP8,1.436299582,2,0.051893
EXT1,FGFR1,1.436299092,2,0.084484
OR2L13,OR1D4,1.436210378,2,0.309482789
C5,IL1R1,1.436191582,2,0.114485
TNFRSF12A,FLT1,1.436120911,2,0.057494
NFE2L1,ITGB1,1.436057557,2,0.112510277
PLG,AMFR,1.435920808,2,0.062831359
MATK,ROR1,1.435876642,2,0.156020025
VWF,TLR4,1.43585009,2,0.112437
COL1A2,NPR1,1.435835998,2,0.010289
MUSK,ERBB4,1.435743905,2,0.106424095
FRZB,GABBR1,1.435723529,2,0.008946
CLEC5A,C1QR1,1.435593804,2,0.019426471
CD8B1,CSF2RB,1.435587085,2,0.171181
FER,MUSK,1.435542713,2,0.112900287
FCHSD2,PTPRG,1.435484693,2,0.066987526
ACVRL1,KDR,1.435466086,2,0.007036419
ZNF207,DGCR2,1.435441678,2,0.014534
MET,TIE1,1.435440003,2,0.055307336
PRKCH,AMHR2,1.435371638,2,0.09717
AGRN,FLT1,1.435356982,2,0.027872482
ERBB2IP,LTB4R,1.435338406,2,0.011153
JAG1,LRP3,1.435289514,2,0.044665
CD34,SELP,1.435265795,2,0.006178
CD300A,ITGB2,1.435261589,2,0.008504
COL3A1,CD97,1.435256935,2,0.009242
SFRP4,MET,1.435224848,2,0.030909
FCHSD2,EPHB2,1.435157127,2,0.160482
DVL2,FGFR1,1.435106453,2,0.00585
TXNDC,LRP1,1.435053981,2,0.096698
PLEKHC1,FGFR1,1.435020876,2,0.009873
SFRP4,AXL,1.434991915,2,0.02099
SEMA5A,RYK,1.434975264,2,0.130844
CD69,IL10RB,1.434967525,2,0.059775
APOL3,IL18R1,1.434966781,2,0.014138
PTPRU,EPHB6,1.43494857,2,0.040953
SDHC,LRP8,1.434940937,2,0.125112563
FRS2,DDR1,1.434936308,1,0.028301
IL17F,ITGB2,1.434901832,2,0.052614
PRKD1,FZD3,1.43479841,2,0.013771
ANK2,ROBO1,1.434798207,2,0.089022
BMPR1A,KDR,1.434788661,2,0.045074
ID2,ITGAE,1.434768823,2,0.219609
CNGB3,MEGF11,1.434754504,2,0.020954
CD164,IFNGR1,1.434748874,2,0.022521
CACNA1H,UNC5C,1.434732994,2,0.071343673
COL6A3,EGFR,1.434676152,2,0.251268152
DSCAM,CELSR1,1.434665524,2,0.132074
PTPRT,PTPRG,1.43465091,2,0.158243
TNK2,ACVR1B,1.434565235,2,0.037535
DNM2,ITGA6,1.434564154,2,0.020554
LEFTY2,KDR,1.434527978,2,0.129650856
COL4A2,PTPRF,1.434511937,2,0.094368896
HRH1,KLRC4,1.434489487,2,0.007415
COL6A2,IGF2R,1.434440805,2,0.078255
RYK,EPHB1,1.434431647,2,0.038083
ADORA3,KLRC2,1.43440649,2,0.006617
ATP5G1,NRXN3,1.434356126,2,0.052914
CBARA1,ITGB1,1.434344702,2,0.055397
RFP2,PTPRJ,1.434317415,2,0.033046
IGFBP4,CSF1R,1.434278891,2,0.068045557
TNFRSF12A,UNC5C,1.434238586,2,0.065934
CDC2L1,BMPR1B,1.434237299,2,0.006312
RP13-297E16.1,NOTCH3,1.434183557,2,0.017142
SECTM1,IFNGR2,1.434073051,2,0.051972
HLA-DMB,IFNGR1,1.434051106,2,0.049594
COL4A1,ERBB2,1.434005365,2,0.131282198
PRSS15,DGCR2,1.433926073,2,0.220079
ERN1,EPHB4,1.43386598,2,0.028811
MPV17,CELSR2,1.433747481,2,0.069098
NGFR,NOTCH3,1.433717761,2,0.010413094
CCL3,IL6R,1.433653591,2,0.022766258
B2M,FAS,1.433614679,2,0.024713
PLAT,ITGAL,1.433589158,2,0.137970342
DEDD,FAS,1.433582746,2,0.007042
CNTFR,KDR,1.433565744,2,0.178214244
GPR56,CELSR2,1.433537558,2,0.170127
PHLDA1,RYK,1.433530449,2,0.099289449
NRP2,NRXN1,1.433454178,2,0.01434
ITGB3,ITGA6,1.433319697,2,0.052376
GPC3,LRP1,1.43330362,2,0.17042712
FKBP8,ITGAE,1.433293062,2,0.016
LTK,KDR,1.433287004,2,0.013211
PTPRA,LRP1,1.433207962,2,0.105261
KITLG,ITGB8,1.433191652,2,0.079459182
MAST2,NOTCH1,1.433184226,2,0.009779726
MARCO,IL2RB,1.433155813,2,0.020562187
HBEGF,FGFR3,1.433089155,2,0.048804
SEMA4B,NRP1,1.432968004,2,0.128075
CCL21,CCR1,1.432921868,2,0.026106201
LILRB2,KLRD1,1.432919964,2,0.047549
CD3D,NOTCH2,1.432907148,2,0.070606352
PPP2CA,BMPR1B,1.432902045,2,0.206572122
ACVR1B,NOTCH2,1.432858581,2,0.009017
PCDH1,FGFR1,1.432824928,2,0.024788
ACVR1B,CD44,1.43273132,2,0.081558
PLA2G2E,P2RY1,1.432665948,2,0.254822718
LCP2,NOTCH1,1.432622379,2,0.012924
GAS6,SDC4,1.432614845,2,0.16253
DVL2,MC1R,1.432605455,2,0.008259
CFL1,DGCR2,1.43254364,2,0.163893
STK17A,TNFRSF11B,1.4325112,2,0.059047
MLLT4,PTPRU,1.432504693,2,0.006076
PTPN6,TEK,1.432498484,2,0.017795
EPB41L1,DRD2,1.432485619,1,0.010952
C7,NEO1,1.432483287,2,0.079317
SDHB,ENG,1.432448206,2,0.042526
BMP4,LRP1,1.432371845,2,0.040745678
DLG1,PTPRA,1.432368747,2,0.023142
SERPINA3,CX3CR1,1.432345448,2,0.147338448
PRPF4B,TNFRSF21,1.432280454,2,0.133902
UGT8,NOTCH4,1.432214819,2,0.021525
AVP,SSTR2,1.432129191,2,0.102528691
COL15A1,PTPRF,1.432125042,2,0.019266
MFAP5,EGFR,1.432046842,2,0.089279
VRK1,BMPR1A,1.431895146,2,0.008932
CELSR1,ITGB3,1.431819853,2,0.087065
TTN,TGFBR1,1.431786644,2,0.016557
LAMA4,SDC2,1.431770498,2,0.102701
FGFR1,LRP1,1.431745223,2,0.009562
IL13,F2R,1.431707137,2,0.022935
ROS1,FLT4,1.431686382,2,0.121928452
HMGN3,PTPRN2,1.431666666,2,0.008905
AKT1,NTRK1,1.431625432,2,0.04783
TGFB1,ALK,1.431613277,2,0.148834
AKT2,ERBB2,1.43157208,2,0.007046
EFNA5,NGFR,1.431544521,2,0.029261
EIF2AK2,ACVR1,1.431541178,2,0.011423
BDKRB1,CXCR3,1.431387923,2,0.015001
SERPINA1,TLR8,1.431355677,2,0.04111501
CCL21,TNFRSF7,1.431355365,2,0.008705
A2M,EPHB3,1.431334257,2,0.174691
PCSK7,NOTCH1,1.43130484,2,0.118921
DSC2,BMPR1A,1.43127534,2,0.034595
WNT7A,NOTCH4,1.431271762,2,0.091932096
TCP1,TNFRSF1A,1.431266226,2,0.073546
FAM26A,PTCH2,1.431265515,2,0.094089652
LTK,TEK,1.431235584,2,0.098318
CD86,PLAUR,1.431222545,2,0.010829
ADRBK2,TIE1,1.431209716,2,0.041102617
GOLGA5,ACVR1B,1.43119889,2,0.183976
FKBP5,ITGB1,1.43117197,2,0.058751
EIF4G2,ITGB1,1.431054374,2,0.025221459
IL1R1,C1QR1,1.431034785,2,0.041482048
CCR6,CX3CR1,1.430994277,2,0.028162
ERBB2IP,ITGB2,1.430958888,2,0.034882
LOX,EPHA5,1.430937142,2,0.146994
FOS,C1QR1,1.430903423,2,0.022902
LAMA2,DDR1,1.430881146,2,0.010537
LAMA3,ATRN,1.43083705,2,0.164722
FBN1,EPHA5,1.430836749,2,0.180111
RASA3,GUCY2F,1.430764696,2,0.212967529
LCP2,LILRB4,1.43071158,2,0.13631008
ITGB1,LILRB1,1.430704937,2,0.118012104
MAP3K10,ROR2,1.430639824,2,0.032603
IFNW1,SELE,1.430639205,2,0.06604
CD53,TLR1,1.430581739,2,0.026393
CDC25A,TGFBR2,1.430524635,2,0.139837
MFAP4,ERBB2,1.43044248,2,0.073513
SOS2,EPHB4,1.430410377,2,0.051163
TGFB1,IL6ST,1.430233152,2,0.009727
TNFRSF10C,TNFRSF21,1.4302264,2,0.1463509
SEMA5A,PTK7,1.430185504,2,0.063303
PROS1,ITGB2,1.430163554,2,0.018220279
C1S,IFNAR1,1.430148444,2,0.017093
APOE,ADORA2A,1.430144989,2,0.076979
BMP6,NOTCH2,1.430082659,2,0.105356
TIAM1,AXL,1.430080195,2,0.017719
DRG2,AMFR,1.430062631,2,0.023055631
MAPKAPK3,TGFBR1,1.430047183,2,0.151224
GZMA,KLRC2,1.430020889,2,0.015232
DPF2,ADRA2B,1.43,2,0.021424
TCF2,OR1E2,1.43,2,0.159963
PRKACG,CLEC1B,1.43,2,0.15496
CXX1,IL8RB,1.43,2,0.013702
TBX21,OR1E2,1.429989362,2,0.12784
MAML3,EDG4,1.429969622,2,0.089328878
OR10B1P,KIR2DS1,1.429958077,2,0.050641
TLE3,HHIP,1.429955493,2,0.005245
RIN3,GPR156,1.429955109,2,0.00495
LOR,CLEC1B,1.429951697,2,0.15278197
FGD3,LILRB5,1.429917029,2,0.131535362
BGLAP,ENG,1.429916256,2,0.019717
TOR1A,IFNAR1,1.429899835,2,0.033881
BRUNOL4,IL1RL1,1.429890042,2,0.005691
NAPE-PLD,NOTCH2,1.429889725,2,0.187579058
ATP6V1G3,ADRA2B,1.429887782,2,0.045101948
LRP5,RAMP3,1.429885477,2,0.01941
SPACA3,IL3RA,1.429878902,2,0.009475
IL17D,FY,1.429871625,2,0.012559
CP,LDLR,1.429860572,2,0.063627
SLCO3A1,OSMR,1.429860173,2,0.113176
FER,PTPRG,1.429859043,2,0.045905
ZNF229,LANCL1,1.429856792,2,0.024228
GLT8D2,TLR10,1.429830296,2,0.00558
COL4A3,CALCR,1.429828414,2,0.080924
C10orf90,TNFRSF1A,1.429828151,2,0.006070349
BSG,LRP8,1.429822535,2,0.016068
DNAH5,NGFR,1.429790617,2,0.005141
CXCL1,CSF3R,1.429787606,2,0.204539606
THBS3,EGFR,1.429779856,2,0.115929
LOX,PTPRF,1.429738816,2,0.185182
MBTPS1,EPHA2,1.429736373,2,0.209006039
SSR4,EPHA2,1.429714256,2,0.089656256
TEB1,LRRN6A,1.429680824,2,0.007415
LAMA5,NRP2,1.429672274,2,0.006958
GJA1,F2R,1.429597969,2,0.021443031
LILRB2,ITGB3,1.429574077,2,0.048858
TF,LDLR,1.429539163,2,0.011586
GAK,NOTCH2,1.429506608,2,0.041628
COL4A3,BMPR1B,1.429488327,2,0.032563994
CD226,CMKLR1,1.429462379,2,0.031643
ZYX,PTPRF,1.429460979,2,0.070258
NUDT22,TNFRSF13B,1.429441868,2,0.006376
JAK3,PTPRF,1.42943375,2,0.012986
MGC15631,EPHA1,1.429421716,2,0.006624
DDR1,ITGA5,1.429370248,2,0.023293
DYRK1A,BMPR1A,1.429325173,2,0.015961
IL2RG,ENG,1.429324672,2,0.106774
ANK2,NTRK2,1.429260721,2,0.036823
AKR7A2,GPR145,1.429251854,2,0.00696
PLEKHC1,IGF1R,1.429237133,2,0.054465
CD80,NCR2,1.429219848,2,0.034466848
CDC14A,AXL,1.429209433,2,0.070119
MEFV,P2RY8,1.429184469,2,0.031782
CXCR3,LILRB1,1.429182574,2,0.033022908
FBLN5,INSR,1.429117064,2,0.044141
LAMA4,ITGA4,1.429091413,2,0.005925
GNAI3,OPN4,1.429063723,2,0.062831
LIMK1,ERBB4,1.42904012,2,0.015542
NRXN3,PTPRF,1.428980405,2,0.02134
SPP1,IL17RB,1.428956873,2,0.05649
PDCD6IP,PLXNA4A,1.428919563,2,0.004979
TIE1,AXL,1.428909644,2,0.011636144
ACTN2,SELE,1.428892601,1,0.020609
ITGB2,LILRB4,1.428864523,2,0.008161
MET,FZD3,1.428808505,2,0.018748
DDB1,DGCR2,1.428761473,2,0.183232
SIPA1,TNFRSF10B,1.428760415,2,0.015929
LDLR,ATRN,1.428659224,2,0.025937
COL16A1,GABBR1,1.428647125,2,0.253085459
HBXAP,CD44,1.428627331,2,0.060338
TIMP1,GPC1,1.428539713,2,0.035655
SFTPD,PROCR,1.428477186,2,0.006940148
MUSK,ACVRL1,1.428477155,2,0.128543
SIPA1,TNFRSF21,1.428343009,2,0.044275
CRK,EPHB4,1.428172404,2,0.009641
CXCL13,IFNGR2,1.428171782,2,0.086571885
SELT,LRP2,1.428168015,2,0.060664
ADAM17,CD44,1.428167793,2,0.048972
CTTN,PTPRO,1.428009622,2,0.155797622
PELP1,TNFRSF1B,1.427961539,2,0.02097
DLG4,ADRA2C,1.427959154,2,0.021549846
PRKCH,NPR1,1.427936481,2,0.032023
TGFBR1,EPHB3,1.427917575,2,0.067936092
SPP1,PLAUR,1.427902896,2,0.002615271
ITGA2,PTPRF,1.42786793,2,0.067271
PSCD2,PDGFRA,1.427834418,2,0.091850585
RABIF,ITGA3,1.427788315,1,0.117645
C14orf125,ATRN,1.427777778,2,0.144382
LPA,LRP5,1.427722296,2,0.005914629
CD59,TLR3,1.427702315,2,0.072007
CHRNA4,PTHR1,1.427593833,2,0.182225
CD86,IL2RA,1.427513377,2,0.098420456
TPRT,TBXA2R,1.427478334,2,0.105388166
NCK2,EPHB4,1.42745434,2,0.058079
UGT1A3,TNFRSF13B,1.427454212,2,0.017901
INHBB,ITGA2,1.427422919,2,0.058123
PTGDS,NEO1,1.427420282,2,0.104619
SNTB1,EPHB2,1.427408088,2,0.062423255
COL16A1,ITGA6,1.427400911,2,0.010224
MICA,ENG,1.427342473,2,0.088743
HNRNPG-T,EDG8,1.427333334,2,0.119941
PXN,GALR2,1.427321184,2,0.01137285
THBS1,RET,1.427315387,2,0.089978
TSPY1,OR1E2,1.427295669,2,0.126961
PTPRC,EDG6,1.427294821,2,0.051746
ITGAE,CD97,1.427251185,2,0.050613352
MAP3K12,ITGAE,1.427246109,2,0.010623
CYP4F3,LRP1,1.427245912,2,0.035794578
LILRB2,LTB4R,1.427229263,2,0.157078763
THBD,ITGA3,1.42721567,2,0.231479837
PAK1,BMPR1A,1.427183736,2,0.020545
OR2L13,OR10H1,1.427122973,2,0.277471
COL6A1,SORL1,1.427110842,2,0.106266992
STK38L,TNFRSF21,1.426995986,2,0.02472
PTK6,KIT,1.426973958,2,0.066602125
LOC51233,FPRL1,1.426936246,2,0.138204254
IFNAR2,KLRC2,1.426932609,2,0.017353
LGALS3BP,DDR2,1.426931335,2,0.02237
TNFRSF1B,TNFRSF10A,1.426929699,2,0.007138
LU,ITGAV,1.426914704,2,0.042378704
COL6A3,NCSTN,1.426874592,2,0.002272241
LEFTY1,BMPR1B,1.426855552,2,0.009706
DSC2,CD53,1.426819168,2,0.078801
CHRNA4,CALCR,1.426737557,2,0.026152
CTGF,EPHB4,1.426721398,2,0.051181
NGFR,FGFR1,1.426710421,2,0.123762254
NRG1,SDC4,1.426669157,2,0.021897
LILRB2,IL7R,1.426651609,2,0.006886891
SNX17,PTPRF,1.426580914,2,0.042401586
GANAB,NOTCH3,1.426529897,2,0.081962
CYHR1,ENG,1.426472331,2,0.041238997
PRKCG,TGFBR1,1.42644973,2,0.086418
GUCY2C,MUSK,1.426430266,2,0.055995766
ITK,EPHB1,1.426428134,2,0.089708301
PTPRC,PTPRU,1.426427365,2,0.06021
PGF,KDR,1.426371813,2,0.011398
DNM3,PDGFRB,1.426362525,2,0.092056
PTPRJ,OSMR,1.426331782,2,0.127488282
KITLG,EPHB4,1.426327149,2,0.007644
ADAM12,TNFRSF12A,1.426296231,2,0.121416
NRXN1,CD97,1.426295953,2,0.006118
LTBR,TNFRSF1A,1.426271873,2,0.019282
LGALS3BP,PTPRU,1.426256783,2,0.096353
USP44,GPR65,1.426224291,2,0.006338
CD40,TNFRSF17,1.426219149,2,0.029802
TRIM38,ACVR1,1.426168289,2,0.018112
IFNB1,CCR1,1.426159882,2,0.004769
P4HB,ITGB6,1.426122237,2,0.03367
LTBR,TLR4,1.426115095,2,0.173851
MFAP4,SDC2,1.426082582,2,0.141037082
CHRNA6,GRM5,1.426054774,2,0.26527
CD40,TNFRSF7,1.426015982,2,0.017762
COL6A1,EPHB2,1.42596969,2,0.113081357
ANK3,CMKOR1,1.425925403,2,0.010649
DOCK9,TNFRSF1A,1.42591918,2,0.151202846
UBC,PTPRG,1.425914196,2,0.010458
KNG1,TNFRSF7,1.425760611,2,0.187694389
SEL1L,NOTCH2,1.425733517,2,0.014242
SEMA5A,ITGA11,1.425720469,2,0.184807302
CD160,CXCR3,1.425716674,2,0.016758
CCL25,KLRC4,1.425713491,2,0.007643
COL14A1,EPOR,1.425697377,2,0.226837
COL3A1,ATRN,1.425687981,2,0.193889
PLXNB1,ROR2,1.42565268,2,0.088548
PLEKHC1,DDR1,1.425634151,2,0.047942151
ITK,EPHA5,1.425523176,2,0.00901
MYCPBP,LILRB1,1.42546176,2,0.005844
ELP4,EPHA2,1.425447503,2,0.076563
FAT,ATRN,1.42543844,2,0.090778
NRCAM,DGCR2,1.425382713,2,0.061309954
EPHB4,MUSK,1.425375919,2,0.048844
CNTN6,FGFR3,1.425370886,2,0.000231947
DDR2,ITGB5,1.425355526,2,0.011316
CHL1,ROBO1,1.425326189,2,0.130767
NRG2,PDGFRB,1.425278488,2,0.009421
CNTN1,ITGB8,1.425276386,2,0.011356
COL4A3,FLT1,1.4252403,2,0.05243
ALCAM,ITGB2,1.425205727,2,0.036989
DPP7,LRP8,1.425173621,2,0.152469288
KITLG,ROR2,1.425117733,2,0.040534
TNC,IL1R2,1.425085995,2,0.205203
ERBB3,TEK,1.425064034,2,0.008991
IL8RB,UNC5C,1.425029254,2,0.079900921
PTPN22,RYK,1.42499586,2,0.10659
ARHGEF11,PLXNB3,1.424992752,1,0.016439
TNK2,NPR2,1.42495617,2,0.065139497
PLCL2,IGF1R,1.424949585,2,0.070929
THBS3,TNFRSF1A,1.424913312,2,0.145401
BAPX1,IL1RAPL2,1.424893972,2,0.15952
ALCAM,ITGB4,1.424882171,2,0.043124
OR2A4,OR1E2,1.42484713,2,0.166954
IL4R,TNFRSF17,1.424844359,2,0.130365692
TGFBR1,RYK,1.424836632,2,0.020046
PTPRC,GUCY2C,1.424835724,2,0.043461
ABR,RYK,1.424815568,2,0.01196
PRKCI,ACVRL1,1.42480171,2,0.007514
HRMT1L2,PTPRG,1.424799662,2,0.14711
ARHGEF11,GRM3,1.424716871,2,0.063183
ANK2,SDC2,1.424711783,2,0.17135
CRK,ITGA6,1.42453788,2,0.014376
QPCT,AMFR,1.424527568,2,0.102588
CAMK1G,PLXNB2,1.42446156,2,0.049513
VWF,ITGAL,1.424460359,2,0.130353
ESRRA,NOTCH1,1.424443778,2,0.006635
CASP1,TLR2,1.424442677,2,0.110616323
DGCR2,EDNRB,1.424434814,2,0.015692
CD8A,TNFRSF7,1.424413055,2,0.085485
HGFAC,PLAUR,1.424407813,2,0.11950052
PTPRM,PTPRD,1.424402431,2,0.028131
HLA-C,LILRB3,1.424384219,2,0.022957
SMARCA4,GABBR1,1.424378656,2,0.023656
RPS6KA1,TNFRSF21,1.42436997,2,0.017508
VRK2,TNFRSF10B,1.424325175,2,0.105357
STK25,PTPRF,1.424263041,2,0.095912
COLQ,CD97,1.424232399,2,0.007126
COL4A5,FGFR2,1.424172556,2,0.036232
LTBP1,LDLR,1.424152483,2,0.153573
PLAU,F2RL2,1.424122735,2,0.061350599
IL6,CXCR3,1.424103522,2,0.018109
MAP3K11,PTK7,1.42408339,2,0.26144839
AOAH,ENG,1.424030867,2,0.158278
SOCS1,ROR1,1.423920097,2,0.012931
LIMK1,IGF1R,1.423883906,2,0.080478239
DDX42,OXTR,1.423830986,2,0.035273847
CXCL11,IL12RB1,1.423815101,2,0.024759
K-ALPHA-1,IGF1R,1.423812234,2,0.025458
RAD23A,TYRO3,1.423784384,2,0.010937
FGFR2,CD44,1.42375314,2,0.04112
EP300,NPR2,1.423683975,2,0.162915309
GPX3,IFNGR2,1.423613061,2,0.021334
NPR2,PTPRD,1.423573117,2,0.028844
ITCH,CCR6,1.423552448,2,0.148180552
CDC42,BMPR1B,1.423529142,2,0.009013
TIMP3,BMPR2,1.423519834,2,0.007038
PTPRB,PTPRD,1.423512815,2,0.072128352
ITGA3,ITGB3,1.423457344,2,0.017784
